age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,uses_focus_apps,has_digital_wellbeing_enabled,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
42,Female,Finance,3.075393705,Telegram,61,7.717357901,894.7,797.27,800.0,7.119707131,0.650076135,True,False,2900.0,7.116916128,958.99
33,Male,IT,2.878584179,Twitter,52,7.452185974,689.3,558.86,800.0,4.873965262,0.844916128,False,False,1300.0,15.38233647,471.77
39,Male,IT,2.148681939,Twitter,53,9.550245003,746.5,674.85,1000.0,5.37263366,0.312643088,False,True,900.0,7.490716883,717.34
47,Male,Student,1.717421687,Facebook,54,9.959630308,490.07,453.1,800.0,6.030423088,2.395001602,True,False,1600.0,16.86497073,326.81
26,Female,IT,7.012937273,Telegram,61,6.185177419,674.57,581.0,900.0,7.423527107,1.800616772,False,False,300.0,11.516469934053918,550.37
27,Female,Unemployed,0.84066028,Facebook,44,8.582932313,371.56,303.7,800.0,6.132155405,0.875798815,True,False,700.0,8.989157945,115.08
23,Male,Unemployed,3.375235001,Twitter,66,4.68179061,734.17,683.24,900.0,7.537600828,0.621051981,True,False,1300.0,6.730350401,752.79
45,Male,Health,4.118346996,TikTok,52,5.558004995,486.9,441.04,300.0,7.063677047,1.250897271,False,False,800.0,16.23698945,407.64
34,Female,Unemployed,3.39141781117192,Instagram,55,3.374824326,655.13,509.88,200.0,7.873412762,1.1021931292763854,False,True,2800.0,7.549706118,425.92
42,Female,Finance,2.770160794,Twitter,68,10.01701628,810.73,644.31,300.0,5.478258099,1.677168788,False,True,2100.0,7.699606047,513.34
27,Female,Finance,4.242042486,Twitter,55,9.955140954,886.79,781.47,900.0,4.418806161,0.442659469,True,False,1000.0,13.9798408,760.63
27,Male,IT,4.618658844,Instagram,67,7.117650621,430.58,398.92,800.0,8.194712816,1.1021931292763854,True,False,1800.0,3.603269281,440.93
31,Male,Finance,4.83265994,Twitter,65,6.643458464,882.17,859.02,100.0,6.777429233,1.675405804,True,False,2900.0,9.626785383,779.46
65,Male,Health,6.165738605,Facebook,64,4.375078308,874.28,791.3,200.0,3.706679241,0.122146818,False,False,1000.0,12.46368958,764.99
34,Male,Education,3.244217766,Telegram,63,6.851315737,803.36,695.01,600.0,4.359197077,1.1021931292763854,False,True,100.0,11.516469934053918,880.52
39,Female,Student,1.756872736,Facebook,62,2.861449244,741.62,626.42,800.0,5.900955711,1.029473537,False,False,1500.0,11.516469934053918,478.64
25,Male,Education,3.39141781117192,Facebook,59,9.718740419,260.37,166.8,400.0,5.53164025,0.507432339,False,False,900.0,11.516469934053918,212.58
63,Male,Education,0.975908397,Telegram,69,3.354972771,805.05,766.94,400.0,9.256694334,1.627703227,False,True,300.0,3.012693992,793.22
42,Male,Education,2.888976417,Telegram,74,5.79580836,819.63,718.09,400.0,7.20247825,0.947368962,False,True,1700.0,15.39982828,613.32
37,Female,Finance,3.462384925,Telegram,55,7.391815733,787.34,768.69,1000.0,9.791713146,0.11821566,True,True,2000.0,22.10162626,803.02
41,Female,IT,1.023205778,Instagram,75,3.550878538,777.41,706.0,400.0,8.513890902,0.941012285,True,False,2400.0,1.512058594,817.07
24,Female,Student,3.570913012,Facebook,61,6.280582244,599.21,413.96,300.0,8.610655899,0.029816868,False,True,1300.0,15.90502592,488.34
27,Female,Finance,0.230603811,TikTok,75,8.029221194,865.28,787.71,200.0,8.286895593,0.359398815,False,True,400.0,4.714807212,820.77
44,Male,Student,4.408875962,Telegram,62,7.295273985,235.41,292.04,800.0,8.147614942,1.209892265,False,False,1500.0,14.5407917,335.32
22,Male,IT,3.39141781117192,Instagram,48,8.408571993,841.04,778.35,400.0,7.524133138,0.483951152,False,False,1500.0,2.960261399,737.09
33,Female,Health,3.947309202,Twitter,63,10.68190442,663.25,545.1,600.0,9.985290964,0.84492303,False,False,2400.0,3.749170191,661.45
53,Female,Health,6.453974314,TikTok,59,7.949740538,542.65,497.12,200.0,5.576884941,1.270319553,False,False,1300.0,13.56108579,500.19
52,Male,Unemployed,2.511207257,Telegram,60,4.442068719,360.0,261.02,400.0,6.853038956,1.825752583,False,False,2700.0,23.50202655,329.04
30,Female,Student,1.38633948,Instagram,65,8.909131461,292.36,326.18,900.0,7.382292194,0.549933076,True,True,1400.0,7.180883313,248.99
49,Female,Education,3.482996828,Facebook,55,8.866978884,712.38,598.26,100.0,6.465459411,0.498682035,False,True,1900.0,6.225963668,653.34
25,Male,Finance,2.25326974,Instagram,55,8.285291493,652.99,599.19,100.0,6.787414944,1.2232464,False,False,300.0,14.52219851,482.35
27,Male,Health,3.946651826,TikTok,57,11.20071353,683.78,498.06,900.0,8.594571526,1.799444791,False,False,2000.0,17.2062923,478.12
64,Male,Education,3.622277928,Facebook,54,7.122691998,671.33,616.21,1000.0,6.99353314,0.666880567,True,False,500.0,6.7150117,676.73
61,Male,IT,4.576755049,Twitter,56,7.636779945,357.58,383.88,900.0,5.114477491,1.1021931292763854,False,False,100.0,9.590639519,567.73
29,Male,Unemployed,6.839798672,Facebook,65,7.286057098,429.31,366.75,500.0,8.737981772,2.290800313,True,True,2500.0,11.516469934053918,340.56
50,Female,Student,2.946278326,Twitter,71,5.783238387,457.41,420.39,800.0,6.177190364,0.681929096,False,False,1604.3579766536966,17.98177695,562.26
53,Male,Education,2.821919669,Instagram,58,7.230728214,813.77,731.63,400.0,4.388467635,1.65597025,False,False,1604.3579766536966,11.516469934053918,582.81
43,Male,Unemployed,3.39141781117192,TikTok,62,6.383487513,592.69,493.81,700.0,8.22420919,1.186402116,False,False,2000.0,8.832873673,264.87
